"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.0.18.164","173.194.59.71","TCP","54","9646  >  443 [FIN, ACK] Seq=1 Ack=1 Win=517 Len=0"
"2","0.001688","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"3","0.001811","10.0.18.164","74.125.12.169","UDP","76","65459  >  443 Len=34"
"4","0.028209","74.125.12.169","10.0.18.164","UDP","903","443  >  65459 Len=861"
"5","0.028460","10.0.18.164","74.125.12.169","UDP","76","65459  >  443 Len=34"
"6","0.040363","10.0.18.164","74.125.12.169","UDP","75","65459  >  443 Len=33"
"7","0.046800","204.79.197.200","10.0.18.164","SSL","1514","Continuation Data"
"8","0.046850","10.0.18.164","204.79.197.200","TCP","54","9605  >  443 [ACK] Seq=1 Ack=1461 Win=1024 Len=0"
"9","0.078113","204.79.197.200","10.0.18.164","SSL","1514","Continuation Data"
"10","0.078254","10.0.18.164","204.79.197.200","TCP","54","9605  >  443 [ACK] Seq=1 Ack=2921 Win=1024 Len=0"
"11","0.109231","204.79.197.200","10.0.18.164","TCP","1514","443  >  9605 [ACK] Seq=2921 Ack=1 Win=16385 Len=1460"
"12","0.109344","10.0.18.164","204.79.197.200","TCP","54","9605  >  443 [ACK] Seq=1 Ack=4381 Win=1024 Len=0"
"13","0.140417","74.125.12.169","10.0.18.164","UDP","1292","443  >  65459 Len=1250"
"14","0.144558","10.0.18.164","74.125.12.169","UDP","919","65459  >  443 Len=877"
"15","0.166538","173.194.59.71","10.0.18.164","TCP","60","443  >  9646 [FIN, ACK] Seq=2362 Ack=2 Win=261 Len=0"
"16","0.166600","10.0.18.164","173.194.59.71","TCP","66","[TCP Dup ACK 1#1] 9646  >  443 [ACK] Seq=2 Ack=1 Win=517 Len=0 SLE=1409 SRE=2362"
"17","0.167616","204.79.197.200","10.0.18.164","SSL","1514","Continuation Data"
"18","0.167662","10.0.18.164","204.79.197.200","TCP","54","9605  >  443 [ACK] Seq=1 Ack=5841 Win=1024 Len=0"
"19","0.198488","74.125.12.169","10.0.18.164","UDP","67","443  >  65459 Len=25"
"20","0.199715","204.79.197.200","10.0.18.164","SSL","1514","Continuation Data"
"21","0.199764","10.0.18.164","204.79.197.200","TCP","54","9605  >  443 [ACK] Seq=1 Ack=7301 Win=1024 Len=0"
"22","0.231281","204.79.197.200","10.0.18.164","SSL","1514","Continuation Data"
"23","0.231361","10.0.18.164","204.79.197.200","TCP","54","9605  >  443 [ACK] Seq=1 Ack=8761 Win=1024 Len=0"
"24","0.246242","Routerbo_3c:02:a7","Broadcast","ARP","60","Who has 10.0.18.124? Tell 10.0.18.1"
